n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
22,3,5,5,2,66,1.5966308116912842,643,0.16971755027770996,60,0.7772538661956787
22,4,5,6,2,38,1.1930527687072754,272,0.07691550254821777,8,0.20052695274353027
22,5,5,7,2,50,1.4374754428863525,471,0.12937045097351074,40,0.7763214111328125
22,6,5,8,2,43,1.4832937717437744,293,0.08298659324645996,24,0.20356512069702148
22,7,5,9,2,85,2.4055354595184326,1177,0.3571016788482666,243,6.8104870319366455
22,8,5,10,2,51,1.7831976413726807,386,0.11133265495300293,42,0.34076738357543945
23,1,5,3,2,43,0.9902157783508301,252,0.07821202278137207,6,0.06562471389770508
23,2,5,4,2,44,1.1003353595733643,320,0.09032440185546875,8,0.35978198051452637
23,3,5,5,2,70,1.6493284702301025,512,0.13546061515808105,120,3.2208845615386963
23,4,5,6,2,77,1.743798017501831,1141,0.292952299118042,452,14.070535659790039
23,5,5,7,2,54,1.5767884254455566,373,0.11266708374023438,28,0.37516117095947266
23,6,5,8,2,50,1.5566871166229248,417,0.16183114051818848,10,0.45760631561279297
23,7,5,9,2,81,2.2918858528137207,882,0.2857363224029541,102,3.399622678756714
23,8,5,10,2,56,1.8904991149902344,585,0.15503501892089844,74,1.759423017501831
24,1,5,3,2,33,0.8697483539581299,176,0.05651092529296875,5,0.10701847076416016
24,2,5,4,2,30,0.9717466831207275,183,0.05924201011657715,7,0.035880088806152344
24,3,5,5,2,69,1.5326106548309326,920,0.22005033493041992,248,8.206175088882446
24,4,5,6,2,58,1.3653061389923096,662,0.16379284858703613,56,0.5848746299743652
24,5,5,7,2,67,1.7795042991638184,859,0.22273015975952148,292,2.536743402481079
24,6,5,8,2,57,1.7004847526550293,496,0.14585518836975098,52,0.9514453411102295
24,7,5,9,2,57,1.5439064502716064,544,0.15959954261779785,63,2.416727066040039
24,8,5,10,2,56,1.7691209316253662,540,0.14431333541870117,34,0.32521843910217285
25,1,5,3,2,53,1.0658931732177734,527,0.12833285331726074,36,2.248615026473999
25,2,5,4,2,43,1.1207170486450195,306,0.0944817066192627,8,0.32816290855407715
25,3,5,5,2,52,1.2231028079986572,448,0.11513090133666992,44,0.782609224319458
25,4,5,6,2,56,1.4594826698303223,579,0.15712189674377441,102,2.211613178253174
25,5,5,7,2,77,1.6659660339355469,946,0.2648935317993164,100,1.3349220752716064
25,6,5,8,2,65,1.8978071212768555,736,0.20092415809631348,38,1.3649117946624756
25,7,5,9,2,134,3.6606664657592773,2058,0.5552234649658203,244,17.02764654159546
25,8,5,10,2,70,2.163865327835083,1022,0.2633216381072998,222,2.4454264640808105
26,1,5,3,2,41,0.9946169853210449,322,0.08823537826538086,25,0.45157408714294434
26,2,5,4,2,48,1.1148173809051514,403,0.11244916915893555,10,0.523707389831543
26,3,5,5,2,37,1.0590641498565674,271,0.07621026039123535,10,0.11728525161743164
26,4,5,6,2,63,1.5510566234588623,702,0.182875394821167,38,1.134873628616333
26,5,5,7,2,71,1.8503472805023193,826,0.23445820808410645,65,1.6556668281555176
26,6,5,8,2,57,1.8615143299102783,545,0.1891770362854004,23,0.38628220558166504
26,7,5,9,2,62,1.9580740928649902,506,0.16979670524597168,19,0.47461414337158203
26,8,5,10,2,98,2.344914436340332,1902,0.4430980682373047,1120,22.055213689804077
27,1,5,3,2,34,0.8917515277862549,244,0.0710594654083252,11,0.11783313751220703
27,2,5,4,2,44,1.1214227676391602,386,0.10322332382202148,36,0.2987091541290283
